entity,algorithm,axis,level,rho_full,jac5,jac10
Astacus astacus,xgboost,lowacc,20,0.6429853297570584,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.5419260199364706,0.25,0.25
Astacus astacus,xgboost,lowacc,20,0.5474185329673928,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6268229837415034,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6354287311686688,0.25,0.42857142857142855
Astacus astacus,xgboost,lowacc,20,0.6465728947732532,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.5659118361309382,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6338949167832846,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,20,0.5681266139578016,0.25,0.25
Astacus astacus,xgboost,lowacc,20,0.6326268136119195,0.6666666666666666,0.25
Astacus astacus,xgboost,lowacc,20,0.7360700046339808,0.25,0.25
Astacus astacus,xgboost,lowacc,20,0.5883765898342422,0.25,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6290350627838232,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.6138140446880981,0.25,0.25
Astacus astacus,xgboost,lowacc,20,0.6187694248300353,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,lowacc,20,0.5921392599688602,0.42857142857142855,0.25
Astacus astacus,xgboost,lowacc,20,0.6817980188861182,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,lowacc,20,0.5900488822846528,0.42857142857142855,0.25
Astacus astacus,xgboost,snapping,1,0.7260501581682475,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.6714425688935691,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.6565188810466176,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,snapping,1,0.71273376479697,1.0,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.7002402262717959,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,snapping,1,0.7194574686438369,0.6666666666666666,0.3333333333333333
Astacus astacus,xgboost,snapping,1,0.710361219726122,0.25,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.69064057293637,0.42857142857142855,0.5384615384615384
Astacus astacus,xgboost,snapping,1,0.6571632343594447,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.7279659563761058,0.25,0.5384615384615384
Astacus astacus,xgboost,snapping,1,0.6971483726638382,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.5743095460742071,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.7221824690539871,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.6589513139037744,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.6467972958797865,0.42857142857142855,0.3333333333333333
Astacus astacus,xgboost,snapping,1,0.6963978749589176,0.42857142857142855,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.6846213647348575,0.6666666666666666,0.5384615384615384
Astacus astacus,xgboost,snapping,1,0.6372279702763838,0.6666666666666666,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.5986120796003831,0.25,0.42857142857142855
Astacus astacus,xgboost,snapping,1,0.6664595664684984,0.42857142857142855,0.3333333333333333
